"date","number","category","rank","songId"
"2024-05-05","17","international","4","aleale-0b7563c0ba"
"2024-05-05","17","international","5","contigo-0937d7804b"
"2024-05-05","17","international","6","whatever-32f8c484a3"
"2024-05-05","17","international","7","vocation-a1301068d1"
"2024-05-05","17","international","8","doctorworkitout-428bd0cf68"
"2024-05-05","17","international","9","texasholdem-714295b0ce"
"2024-05-05","17","international","10","roma-96d5a4f6be"
"2024-05-12","18","national","1","elamorqueespere-86e71a5cbb"
"2024-05-12","18","national","2","noteinstales-0c505ecf21"
"2024-05-12","18","national","3","fuerafuera-7146038232"
"2024-05-12","18","national","4","lavidaesbuena-e8b327aa2c"
"2024-05-12","18","national","5","blablabla-b04f4e20be"
"2024-05-12","18","national","6","silencioremix-df7b7a94c2"
"2024-05-12","18","national","7","elwhatsapp-7a05174f95"
"2024-05-12","18","national","8","fueculpadeusted-94bf8fc961"
"2024-05-12","18","national","9","nadasinti-e749860ed3"
"2024-05-12","18","national","10","lasredes-b5eadcc555"
"2024-05-12","18","international","1","fortnightcyrilremix-227943921e"
"2024-05-12","18","international","2","punteria-1ef0e937a3"
"2024-05-12","18","international","3","beautifulthings-76867bed2c"
"2024-05-12","18","international","4","aleale-0b7563c0ba"
"2024-05-12","18","international","5","contigo-0937d7804b"
"2024-05-12","18","international","6","whatever-32f8c484a3"
"2024-05-12","18","international","7","vocation-a1301068d1"
"2024-05-12","18","international","8","doctorworkitout-428bd0cf68"
"2024-05-12","18","international","9","roma-96d5a4f6be"
"2024-05-12","18","international","10","texasholdem-714295b0ce"
"2024-05-19","19","national","1","noteinstales-0c505ecf21"
"2024-05-19","19","national","2","elamorqueespere-86e71a5cbb"
"2024-05-19","19","national","3","fuerafuera-7146038232"
"2024-05-19","19","national","4","lavidaesbuena-e8b327aa2c"
"2024-05-19","19","national","5","blablabla-b04f4e20be"
"2024-05-19","19","national","6","silencioremix-df7b7a94c2"
"2024-05-19","19","national","7","elwhatsapp-7a05174f95"
"2024-05-19","19","national","8","nadasinti-e749860ed3"
"2024-05-19","19","national","9","lasredes-b5eadcc555"
"2024-05-19","19","national","10","fueculpadeusted-94bf8fc961"
"2024-05-19","19","international","1","fortnightcyrilremix-227943921e"
"2024-05-19","19","international","2","punteria-1ef0e937a3"
"2024-05-19","19","international","3","beautifulthings-76867bed2c"
"2024-05-19","19","international","4","aleale-0b7563c0ba"
"2024-05-19","19","international","5","contigo-0937d7804b"
"2024-05-19","19","international","6","whatever-32f8c484a3"
"2024-05-19","19","international","7","unavidapasada-d64d9360bc"
"2024-05-19","19","international","8","doctorworkitout-428bd0cf68"
"2024-05-19","19","international","9","roma-96d5a4f6be"
"2024-05-19","19","international","10","texasholdem-714295b0ce"
"2024-06-09","20","national","1","noteinstales-0c505ecf21"
"2024-06-09","20","national","2","elamorqueespere-86e71a5cbb"
"2024-06-09","20","national","3","fuerafuera-7146038232"
"2024-06-09","20","national","4","lavidaesbuena-e8b327aa2c"
"2024-06-09","20","national","5","blablabla-b04f4e20be"
"2024-06-09","20","national","6","silencioremix-df7b7a94c2"
"2024-06-09","20","national","7","elwhatsapp-7a05174f95"
"2024-06-09","20","national","8","nadasinti-e749860ed3"
"2024-06-09","20","national","9","lasredes-b5eadcc555"
"2024-06-09","20","national","10","fueculpadeusted-94bf8fc961"
"2024-06-09","20","international","1","fortnightcyrilremix-227943921e"
"2024-06-09","20","international","2","punteria-1ef0e937a3"
"2024-06-09","20","international","3","beautifulthings-76867bed2c"
"2024-06-09","20","international","4","aleale-0b7563c0ba"
"2024-06-09","20","international","5","contigo-0937d7804b"
"2024-06-09","20","international","6","whatever-32f8c484a3"
"2024-06-09","20","international","7","unavidapasada-d64d9360bc"
"2024-06-09","20","international","8","doctorworkitout-428bd0cf68"
"2024-06-09","20","international","9","roma-96d5a4f6be"
"2024-06-09","20","international","10","texasholdem-714295b0ce"
"2024-06-30","23","national","1","noteinstales-0c505ecf21"
"2024-06-30","23","national","2","elamorqueespere-86e71a5cbb"
"2024-06-30","23","national","3","lavidaesbuena-e8b327aa2c"
"2024-06-30","23","national","4","fuerafuera-7146038232"
"2024-06-30","23","national","5","elwhatsapp-7a05174f95"
"2024-06-30","23","national","6","nadasinti-e749860ed3"
"2024-06-30","23","national","7","lasredes-b5eadcc555"
"2024-06-30","23","national","8","blablabla-b04f4e20be"
"2024-06-30","23","national","9","silencioremix-df7b7a94c2"
"2024-06-30","23","national","10","fueculpadeusted-94bf8fc961"
"2024-06-30","23","international","1","punteria-1ef0e937a3"
"2024-06-30","23","international","2","aleale-0b7563c0ba"
"2024-06-30","23","international","3","fortnightcyrilremix-227943921e"
"2024-06-30","23","international","4","beautifulthings-76867bed2c"
"2024-06-30","23","international","5","roma-96d5a4f6be"
"2024-06-30","23","international","6","doctorworkitout-428bd0cf68"
"2024-06-30","23","international","7","whatever-32f8c484a3"
"2024-06-30","23","international","8","texasholdem-714295b0ce"
"2024-06-30","23","international","9","contigo-0937d7804b"
"2024-06-30","23","international","10","salvame-5fdc541db8"
"2024-07-14","24","national","1","fuerafuera-7146038232"
